BOOKNUMBER,BOOKNAME,NAMEOFAUTHOR,NAMEOFPUBLISHER,COSTOFBOOK,DATEOFENTRY,STATUSOFBOOK,SOURCEOFBOOK,RACKNUMBER,CATEGORY
315,DATA COMMUNICATIONS AND NETWORKING,BEHROUZ A.FOROUAN,,350.00,2008-02-07,YES,,,
316,OPERATING SYSTEMS,"SILBERSCHATZ, GALVIN GANGO",,450.00,2008-02-07,YES,,,
317,OPERATING SYSTEMS,"SILBERSCHATZ, GALVIN GANGO",,450.00,2008-02-07,YES,,,
318,APPLIED CRYPTOGRAPHY,BRUICE SCHNEIER,,430.00,2008-02-07,YES,,,
319,RANDOMIZED ALGORITHMS,RAJEEV MOTWANI,,395.00,2008-02-14,YES,,,
320,EMEBEDDED SYSTEMS DESIGN,OLIVER BAILEY,,299.00,2008-02-14,YES,,,
321,EMEBEDDED SYSTEMS DESIGN,STEVE HEATH,,395.00,2008-02-27,YES,,,
322,ARM SYSTEM DEVELOPERS GUIDE,"ANDREW N SLOSS, DOMINIC SYMES, CHRIS WRIST",,695.00,2008-02-27,YES,,,
323,DESIGN WITH PIC MICROCONTROLLERS,JOHN B PEATMAN,,235.00,2008-02-27,YES,,,
324,ARM SOC ARCHITECTURE,STEVE FERBEZ,,275.00,2008-02-27,YES,,,
325,ELECTRONIC DEVICES AND CIRCUIT THEORY,"ROBERT L. BOYLESTAD, LUIS NASHELSKY",,475.00,2008-04-07,YES,,,
326,ANALOG ELECTRONICS,"A.PITTET, A.KANDASWAMY",,250.00,2008-04-07,YES,,,
327,ADVANCED MICROPROCESSORS AND PERIPHERALS,"AJAY KUMAR RAI, KISHOR M.BHURCHONDI",,289.00,2008-04-07,YES,,,
328,SIGNALS AND SYSTEMS,"SIMON HAYKIN, BARRY VAO VEEN",,399.00,2008-04-07,YES,,,
329,ENGINEERING MECHANICS STATICS AND DYNAMICS,A.K.TAYAL,,0.00,2008-07-29,YES,,,
330,NETWORK ANALYSIS,G.K.MITHAL,,0.00,2008-07-29,YES,,,
331,DISCRETE MATHEMATICAL STRUCTURES,"KOLMAN,BUSBY,ROSS",,0.00,2008-07-29,YES,,,
332,DATA COMMUNICATION AND NETWORKING,BEHROUZ A FOROUZAN,,0.00,2008-07-29,YES,,,
